행정구역,노령인구비율_2020,노령인구비율_2021,노령인구비율_2022,노령인구비율_2023,노령인구비율_2024,지역총소득_2018,지역총소득_2019,지역총소득_2020,지역총소득_2021,지역총소득_2022,장례식장 수,AADT지수,녹지율_2018,녹지율_2019,녹지율_2020,녹지율_2021,녹지율_2022,전문병원 수
전국,16.025000000000002,16.791666666666668,17.616666666666667,18.525,19.349999999999998,37014,37596,37842,40723,42563,1134,1.0119973638070736,70.99,71.11,71.04,70.8,70.71,121.0
서울특별시,15.75,16.466666666666665,17.241666666666667,18.066666666666666,18.825,48362,48693,49006,54571,57236,66,1.066570829358978,38.78,38.78,38.69,38.62,38.58,24.0
부산광역시,18.875,19.908333333333335,20.98333333333333,22.09166666666667,23.087500000000002,28287,29259,29643,31414,32293,57,1.038442464920738,58.06,57.9,57.9,57.91,57.77,8.0
대구광역시,16.158333333333335,17.083333333333332,18.0,19.066666666666666,20.087500000000002,27004,27700,27934,29552,31056,57,1.0677332208429755,77.39,77.4,77.33,77.34,77.38,10.0
인천광역시,13.583333333333334,14.441666666666665,15.258333333333333,16.158333333333335,16.9875,31363,32873,32724,35499,37442,38,1.066570829358978,49.62,55.62,55.51,55.44,55.73,6.0
광주광역시,13.858333333333333,14.516666666666666,15.199999999999998,16.058333333333334,16.862499999999997,29759,31186,31674,33182,34844,34,1.0388263759771674,74.73,74.73,74.5,74.48,74.43,4.0
대전광역시,14.008333333333333,14.866666666666665,15.708333333333334,16.575,17.3375,30529,31566,32080,34013,35848,19,1.0335505407744423,81.28,80.49,80.49,80.49,80.49,3.0
울산광역시,12.158333333333333,13.174999999999999,14.258333333333333,15.391666666666667,16.4,52694,54190,53908,57613,60971,21,1.0250522144880698,68.17,68.2,68.53,68.04,67.99,3.0
세종특별자치시,9.658333333333333,9.991666666666665,10.275,10.733333333333334,11.237499999999999,37243,38186,37869,40231,41372,6,1.0516655291758137,69.16,69.16,68.27,67.97,68.69,
경기도,12.916666666666664,13.575000000000001,14.316666666666665,15.141666666666667,15.949999999999998,39150,38929,38819,41477,43635,183,1.066570829358978,77.28,77.1,76.97,76.19,76.05,27.0
강원특별자치도,20.316666666666666,21.258333333333336,22.28333333333333,23.45,24.5375,28471,29397,28891,31074,33198,54,1.0599051098640524,77.21,77.19,77.11,77.11,77.1,4.0
충청북도,17.633333333333336,18.491666666666664,19.433333333333334,20.425,21.299999999999997,33672,34889,35403,38323,40673,52,1.012070814018159,76.96,75.94,75.75,75.68,75.75,4.0
충청남도,18.74166666666667,19.516666666666666,20.26666666666667,20.991666666666667,21.675000000000004,39935,41089,42073,45399,48015,80,1.0516655291758137,65.04,64.56,64.29,64.08,63.59,4.0
전북특별자치도,20.991666666666667,21.866666666666664,22.775000000000002,23.691666666666666,24.525,26783,28302,29515,31803,34299,74,1.082612711210397,68.58,68.15,67.98,67.96,67.75,7.0
전라남도,23.183333333333334,23.941666666666666,24.766666666666666,25.666666666666668,26.5125,35159,35673,38605,37741,34098,132,1.0553222265490017,68.43,68.68,68.5,68.31,68.28,4.0
경상북도,21.291666666666664,22.283333333333335,23.316666666666666,24.291666666666668,25.1625,34530,35038,35471,38071,38391,127,1.0627715159399154,73.11,73.26,73.2,73.2,73.21,6.0
경상남도,16.933333333333334,17.925,18.991666666666667,20.091666666666665,21.0625,30987,32035,31550,33363,35540,124,1.0699955587934236,73.45,73.38,73.52,73.26,73.0,6.0
제주특별자치도,15.416666666666664,16.058333333333334,16.733333333333334,17.516666666666666,18.299999999999997,31193,30710,30030,32580,33525,10,,82.65,82.65,82.66,82.66,82.66,1.0
